#Be Density=1.848 Thickness=25.4 microns
#Photon Energy (eV), Transmission
10.000, 0.00000
49.980, 0.39971E-29
89.960, 0.72243E-16
129.94, 0.00000
169.92, 0.00000
209.90, 0.00000
249.88, 0.00000
289.86, 0.99750E-40
329.84, 0.36222E-28
369.82, 0.78921E-21
409.80, 0.96760E-16
449.78, 0.46515E-12
489.76, 0.19462E-09
529.74, 0.16168E-07
569.72, 0.45127E-06
609.70, 0.60102E-05
649.68, 0.46132E-04
689.66, 0.22863E-03
729.64, 0.79230E-03
769.62, 0.22439E-02
809.60, 0.52368E-02
849.58, 0.10514E-01
889.56, 0.18737E-01
929.54, 0.30333E-01
969.52, 0.45755E-01
1009.5, 0.64921E-01
1049.5, 0.87530E-01
1089.5, 0.11316
1129.4, 0.14126
1169.4, 0.17128
1209.4, 0.20264
1249.4, 0.23483
1289.4, 0.26737
1329.3, 0.29987
1369.3, 0.33200
1409.3, 0.36351
1449.3, 0.39417
1489.3, 0.42383
1529.2, 0.45257
1569.2, 0.48051
1609.2, 0.50720
1649.2, 0.53260
1689.2, 0.55673
1729.1, 0.57960
1769.1, 0.60125
1809.1, 0.62170
1849.1, 0.64102
1889.1, 0.65924
1929.0, 0.67642
1969.0, 0.69262
2009.0, 0.70788
2049.0, 0.72243
2089.0, 0.73624
2128.9, 0.74924
2168.9, 0.76147
2208.9, 0.77300
2248.9, 0.78385
2288.9, 0.79408
2328.8, 0.80372
2368.8, 0.81280
2408.8, 0.82137
2448.8, 0.82946
2488.8, 0.83709
2528.7, 0.84430
2568.7, 0.85111
2608.7, 0.85755
2648.7, 0.86365
2688.7, 0.86941
2728.6, 0.87487
2768.6, 0.88004
2808.6, 0.88494
2848.6, 0.88958
2888.6, 0.89399
2928.5, 0.89817
2968.5, 0.90215
3008.5, 0.90592
3048.5, 0.90955
3088.5, 0.91303
3128.4, 0.91634
3168.4, 0.91948
3208.4, 0.92248
3248.4, 0.92533
3288.4, 0.92805
3328.3, 0.93064
3368.3, 0.93311
3408.3, 0.93546
3448.3, 0.93771
3488.3, 0.93986
3528.2, 0.94192
3568.2, 0.94388
3608.2, 0.94576
3648.2, 0.94755
3688.2, 0.94927
3728.1, 0.95092
3768.1, 0.95249
3808.1, 0.95400
3848.1, 0.95545
3888.1, 0.95684
3928.0, 0.95817
3968.0, 0.95945
4008.0, 0.96068
4048.0, 0.96186
4088.0, 0.96299
4127.9, 0.96409
4167.9, 0.96515
4207.9, 0.96617
4247.9, 0.96714
4287.9, 0.96809
4327.8, 0.96899
4367.8, 0.96987
4407.8, 0.97071
4447.8, 0.97152
4487.8, 0.97230
4527.7, 0.97305
4567.7, 0.97377
4607.7, 0.97447
4647.7, 0.97515
4687.7, 0.97580
4727.6, 0.97643
4767.6, 0.97703
4807.6, 0.97762
4847.6, 0.97819
4887.6, 0.97873
4927.5, 0.97926
4967.5, 0.97978
5007.5, 0.98027
5047.5, 0.98075
5087.5, 0.98121
5127.4, 0.98166
5167.4, 0.98210
5207.4, 0.98252
5247.4, 0.98292
5287.4, 0.98332
5327.3, 0.98371
5367.3, 0.98408
5407.3, 0.98444
5447.3, 0.98479
5487.3, 0.98514
5527.2, 0.98547
5567.2, 0.98579
5607.2, 0.98610
5647.2, 0.98640
5687.2, 0.98669
5727.1, 0.98697
5767.1, 0.98725
5807.1, 0.98752
5847.1, 0.98778
5887.1, 0.98803
5927.0, 0.98828
5967.0, 0.98852
6007.0, 0.98875
6047.0, 0.98897
6087.0, 0.98919
6126.9, 0.98941
6166.9, 0.98961
6206.9, 0.98982
6246.9, 0.99001
6286.9, 0.99021
6326.8, 0.99039
6366.8, 0.99057
6406.8, 0.99075
6446.8, 0.99093
6486.8, 0.99109
6526.7, 0.99126
6566.7, 0.99142
6606.7, 0.99158
6646.7, 0.99173
6686.7, 0.99188
6726.6, 0.99202
6766.6, 0.99216
6806.6, 0.99230
6846.6, 0.99243
6886.6, 0.99256
6926.5, 0.99269
6966.5, 0.99282
7006.5, 0.99294
7046.5, 0.99306
7086.5, 0.99317
7126.4, 0.99328
7166.4, 0.99339
7206.4, 0.99350
7246.4, 0.99361
7286.4, 0.99371
7326.3, 0.99381
7366.3, 0.99391
7406.3, 0.99400
7446.3, 0.99410
7486.3, 0.99419
7526.2, 0.99428
7566.2, 0.99437
7606.2, 0.99445
